timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,pprf_instance_count,consumed_ot_count,base_ot_protocol_invocations,ot_generation_time_ms,ot_communication_bytes,pprf_only_time_ms,key_setup_wall_ms,pprf_setup_bytes,pprf_payload_bytes,total_comm_bytes,p0_peak_rss_bytes,p1_peak_rss_bytes,notes
2026-07-23T08:50:49.254918+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,4,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,75.818,75.818,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.334943+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,5,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,76.408,76.408,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.416753+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,6,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,75.982,75.982,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.497807+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,7,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,75.565,75.565,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.578176+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,8,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,76.97500000000001,76.97500000000001,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.659370+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,9,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,75.92699999999999,75.92699999999999,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.739890+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,-1,1,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2270.9,2270.9,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:52.015931+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,0,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2319.7549999999997,2319.7549999999997,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:54.342644+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,1,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2275.518,2275.518,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:56.624616+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,2,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2282.6330000000003,2282.6330000000003,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:58.913889+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,3,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2277.214,2277.214,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:01.197718+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,4,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2324.83,2324.83,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:03.529085+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,5,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2294.6049999999996,2294.6049999999996,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:05.830191+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,6,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2325.781,2325.781,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:08.162361+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,7,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2314.38,2314.38,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:10.483293+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,8,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2288.6549999999997,2288.6549999999997,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:12.778523+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,9,0,OK,measured,PASS,64,64,64,0.0,included_in_pprf_setup_bytes,2315.452,2315.452,1628720,1628720,1628720,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:15.100404+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,14,16384,64,256,8,-1,1,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,100.176,100.176,96512,96512,96512,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:51:15.206760+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,14,16384,64,256,8,0,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,100.48899999999999,100.48899999999999,96512,96512,96512,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
