method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
RM_VECTOR_GENERIC_SPLIT,20,8,total_wall_ms,5,3932.8880000000004,3934.0316000000003,2.8613633533684326,3931.167,3937.478,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,20,8,total_comm_bytes,5,4358992.0,4358992.0,0.0,4358992.0,4358992.0,network_runtime,WAN10
RM_VECTOR_OPT,14,16,total_wall_ms,5,2249.8469999999998,2268.3504,37.076920603523696,2249.663,2342.504,network_runtime,WAN10
RM_VECTOR_OPT,14,16,total_comm_bytes,5,2507360.0,2507360.0,0.0,2507360.0,2507360.0,network_runtime,WAN10
RM_VECTOR_OPT,14,32,total_wall_ms,5,3646.414,3650.408,8.475434974088293,3642.291,3666.518,network_runtime,WAN10
RM_VECTOR_OPT,14,32,total_comm_bytes,5,4571744.0,4571744.0,0.0,4571744.0,4571744.0,network_runtime,WAN10
RM_VECTOR_OPT,14,8,total_wall_ms,5,1549.301,1576.8529999999998,54.13548221268563,1548.462,1685.078,network_runtime,WAN10
RM_VECTOR_OPT,14,8,total_comm_bytes,5,1475168.0,1475168.0,0.0,1475168.0,1475168.0,network_runtime,WAN10
RM_VECTOR_OPT,18,16,total_wall_ms,5,2476.643,2497.6316,42.90687047828127,2474.317,2583.371,network_runtime,WAN10
RM_VECTOR_OPT,18,16,total_comm_bytes,5,2541152.0,2541152.0,0.0,2541152.0,2541152.0,network_runtime,WAN10
RM_VECTOR_OPT,18,32,total_wall_ms,5,4077.54,4078.1248,4.403504395364988,4070.9730000000004,4084.48,network_runtime,WAN10
RM_VECTOR_OPT,18,32,total_comm_bytes,5,4605536.0,4605536.0,0.0,4605536.0,4605536.0,network_runtime,WAN10
RM_VECTOR_OPT,18,8,total_wall_ms,5,1691.826,1690.9548,1.21581830879451,1689.231,1692.03,network_runtime,WAN10
RM_VECTOR_OPT,18,8,total_comm_bytes,5,1508960.0,1508960.0,0.0,1508960.0,1508960.0,network_runtime,WAN10
RM_VECTOR_OPT,20,16,total_wall_ms,5,3328.9610000000002,3356.8354,40.05593890348838,3321.236,3420.6639999999998,network_runtime,WAN10
RM_VECTOR_OPT,20,16,total_comm_bytes,5,2558048.0,2558048.0,0.0,2558048.0,2558048.0,network_runtime,WAN10
RM_VECTOR_OPT,20,32,total_wall_ms,5,6294.846,7249.9002,2022.948945797041,5986.705,11282.337,network_runtime,WAN10
RM_VECTOR_OPT,20,32,total_comm_bytes,5,4622432.0,4622432.0,0.0,4622432.0,4622432.0,network_runtime,WAN10
RM_VECTOR_OPT,20,8,total_wall_ms,5,2105.118,2117.6117999999997,21.901911016164767,2103.174,2160.727,network_runtime,WAN10
RM_VECTOR_OPT,20,8,total_comm_bytes,5,1525856.0,1525856.0,0.0,1525856.0,1525856.0,network_runtime,WAN10
SILENT_SVOLE,14,16,total_wall_ms,5,22927.485,22933.4906,112.2311593677967,22778.210000000003,23128.479,network_runtime,WAN10
SILENT_SVOLE,14,16,total_comm_bytes,5,32785160.0,32785160.0,0.0,32785160.0,32785160.0,network_runtime,WAN10
SILENT_SVOLE,14,32,total_wall_ms,5,88984.117,89480.1178,1050.5565449089213,88287.49799999999,90832.751,network_runtime,WAN10
SILENT_SVOLE,14,32,total_comm_bytes,5,130462472.0,130462472.0,0.0,130462472.0,130462472.0,network_runtime,WAN10
SILENT_SVOLE,14,8,total_wall_ms,5,6192.393,6202.1686,20.238863185465856,6190.722,6242.618,network_runtime,WAN10
SILENT_SVOLE,14,8,total_comm_bytes,5,8325896.0,8325896.0,0.0,8325896.0,8325896.0,network_runtime,WAN10
SILENT_SVOLE,18,16,total_wall_ms,5,23347.151,23452.269,154.71290624379154,23303.172,23701.508,network_runtime,WAN10
SILENT_SVOLE,18,16,total_comm_bytes,5,32848648.0,32848648.0,0.0,32848648.0,32848648.0,network_runtime,WAN10
SILENT_SVOLE,18,32,total_wall_ms,5,89768.264,94097.73240000001,7688.296935913172,89442.761,109323.339,network_runtime,WAN10
