network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
FAST,emulated TCP network,SILENT_SVOLE,20,16,total_comm_bytes,10,32880392.0,32880392.0,0.0,32880392.0,32880392.0
FAST,emulated TCP network,SILENT_SVOLE,20,16,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,20,32,total_wall_ms,10,4015.4855000000002,4010.4879,14.774462551646275,3985.947,4030.2
FAST,emulated TCP network,SILENT_SVOLE,20,32,total_comm_bytes,10,130557704.0,130557704.0,0.0,130557704.0,130557704.0
FAST,emulated TCP network,SILENT_SVOLE,20,32,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,20,8,total_wall_ms,10,1968.3825000000002,1973.2384,12.027970428962634,1960.784,1992.918
FAST,emulated TCP network,SILENT_SVOLE,20,8,total_comm_bytes,10,8421128.0,8421128.0,0.0,8421128.0,8421128.0
FAST,emulated TCP network,SILENT_SVOLE,20,8,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,5,11994.131,12038.043,86.00984085556738,11956.094000000001,12147.468
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,5,16941392.0,16941392.0,0.0,16941392.0,16941392.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,split_input_phase_wall_ms,5,11724.916000000001,11738.2656,51.64331785855726,11687.453,11823.579
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,total_wall_ms,5,3480.024,3502.2491999999997,76.62707024387672,3418.3289999999997,3646.46
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,total_comm_bytes,5,4308304.0,4308304.0,0.0,4308304.0,4308304.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,split_input_phase_wall_ms,5,3182.71,3189.868,44.22141551330075,3130.051,3267.854
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,16,total_wall_ms,5,12213.36,12227.399,65.22039773874403,12157.411,12317.394999999999
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,16,total_comm_bytes,5,16975184.0,16975184.0,0.0,16975184.0,16975184.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,16,split_input_phase_wall_ms,5,11697.957,11697.539999999999,53.203002727289466,11647.741999999998,11793.654999999999
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,8,total_wall_ms,5,3605.185,3606.1072,25.56233845640878,3562.335,3640.2839999999997
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,8,total_comm_bytes,5,4342096.0,4342096.0,0.0,4342096.0,4342096.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,18,8,split_input_phase_wall_ms,5,3166.471,3159.9372,15.203370605230978,3129.705,3169.676
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,16,total_wall_ms,5,12984.078,13034.247,80.8431850436389,12959.177,13153.11
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,16,total_comm_bytes,5,16992080.0,16992080.0,0.0,16992080.0,16992080.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,16,split_input_phase_wall_ms,5,11649.336,11689.5774,60.41554041999465,11648.075,11804.143
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,8,total_wall_ms,5,3932.8880000000004,3934.0316000000003,2.8613633533684326,3931.167,3937.478
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,8,total_comm_bytes,5,4358992.0,4358992.0,0.0,4358992.0,4358992.0
WAN10,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,20,8,split_input_phase_wall_ms,5,3129.7000000000003,3129.762,0.19580704788119274,3129.4900000000002,3130.0099999999998
WAN10,emulated TCP network,RM_VECTOR_OPT,14,16,total_wall_ms,5,2249.8469999999998,2268.3504,37.076920603523696,2249.663,2342.504
WAN10,emulated TCP network,RM_VECTOR_OPT,14,16,total_comm_bytes,5,2507360.0,2507360.0,0.0,2507360.0,2507360.0
WAN10,emulated TCP network,RM_VECTOR_OPT,14,16,split_input_phase_wall_ms,5,1925.8200000000002,1944.2798,36.980135383202665,1925.718,2018.24
WAN10,emulated TCP network,RM_VECTOR_OPT,14,32,total_wall_ms,5,3646.414,3650.408,8.475434974088293,3642.291,3666.518
WAN10,emulated TCP network,RM_VECTOR_OPT,14,32,total_comm_bytes,5,4571744.0,4571744.0,0.0,4571744.0,4571744.0
WAN10,emulated TCP network,RM_VECTOR_OPT,14,32,split_input_phase_wall_ms,5,3263.587,3267.8024,8.290846533376355,3263.455,3284.3779999999997
WAN10,emulated TCP network,RM_VECTOR_OPT,14,8,total_wall_ms,5,1549.301,1576.8529999999998,54.13548221268563,1548.462,1685.078
WAN10,emulated TCP network,RM_VECTOR_OPT,14,8,total_comm_bytes,5,1475168.0,1475168.0,0.0,1475168.0,1475168.0
WAN10,emulated TCP network,RM_VECTOR_OPT,14,8,split_input_phase_wall_ms,5,1257.662,1285.312,54.15118465555489,1256.75,1393.565
WAN10,emulated TCP network,RM_VECTOR_OPT,18,16,total_wall_ms,5,2476.643,2497.6316,42.90687047828127,2474.317,2583.371
WAN10,emulated TCP network,RM_VECTOR_OPT,18,16,total_comm_bytes,5,2541152.0,2541152.0,0.0,2541152.0,2541152.0
WAN10,emulated TCP network,RM_VECTOR_OPT,18,16,split_input_phase_wall_ms,5,1925.7839999999999,1947.4214,43.134829753228374,1925.5230000000001,2033.6889999999999
WAN10,emulated TCP network,RM_VECTOR_OPT,18,32,total_wall_ms,5,4077.54,4078.1248,4.403504395364988,4070.9730000000004,4084.48
WAN10,emulated TCP network,RM_VECTOR_OPT,18,32,total_comm_bytes,5,4605536.0,4605536.0,0.0,4605536.0,4605536.0
WAN10,emulated TCP network,RM_VECTOR_OPT,18,32,split_input_phase_wall_ms,5,3302.356,3302.481,0.28694668494334685,3302.276,3303.042
WAN10,emulated TCP network,RM_VECTOR_OPT,18,8,total_wall_ms,5,1691.826,1690.9548,1.21581830879451,1689.231,1692.03
WAN10,emulated TCP network,RM_VECTOR_OPT,18,8,total_comm_bytes,5,1508960.0,1508960.0,0.0,1508960.0,1508960.0
WAN10,emulated TCP network,RM_VECTOR_OPT,18,8,split_input_phase_wall_ms,5,1256.054,1256.071,0.06874009019485042,1255.999,1256.168
WAN10,emulated TCP network,RM_VECTOR_OPT,20,16,total_wall_ms,5,3328.9610000000002,3356.8354,40.05593890348838,3321.236,3420.6639999999998
WAN10,emulated TCP network,RM_VECTOR_OPT,20,16,total_comm_bytes,5,2558048.0,2558048.0,0.0,2558048.0,2558048.0
WAN10,emulated TCP network,RM_VECTOR_OPT,20,16,split_input_phase_wall_ms,5,1925.982,1953.1476,34.05858749038187,1925.78,2004.3959999999997
WAN10,emulated TCP network,RM_VECTOR_OPT,20,32,total_wall_ms,5,6294.846,7249.9002,2022.948945797041,5986.705,11282.337
WAN10,emulated TCP network,RM_VECTOR_OPT,20,32,total_comm_bytes,5,4622432.0,4622432.0,0.0,4622432.0,4622432.0
WAN10,emulated TCP network,RM_VECTOR_OPT,20,32,split_input_phase_wall_ms,5,3648.231,4068.8226,944.7384557064669,3406.142,5946.896
WAN10,emulated TCP network,RM_VECTOR_OPT,20,8,total_wall_ms,5,2105.118,2117.6117999999997,21.901911016164767,2103.174,2160.727
WAN10,emulated TCP network,RM_VECTOR_OPT,20,8,total_comm_bytes,5,1525856.0,1525856.0,0.0,1525856.0,1525856.0
WAN10,emulated TCP network,RM_VECTOR_OPT,20,8,split_input_phase_wall_ms,5,1256.208,1267.9378,23.55366722529639,1256.097,1315.045
WAN10,emulated TCP network,SILENT_SVOLE,14,16,total_wall_ms,5,22927.485,22933.4906,112.2311593677967,22778.210000000003,23128.479
WAN10,emulated TCP network,SILENT_SVOLE,14,16,total_comm_bytes,5,32785160.0,32785160.0,0.0,32785160.0,32785160.0
WAN10,emulated TCP network,SILENT_SVOLE,14,16,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,14,32,total_wall_ms,5,88984.117,89480.1178,1050.5565449089213,88287.49799999999,90832.751
WAN10,emulated TCP network,SILENT_SVOLE,14,32,total_comm_bytes,5,130462472.0,130462472.0,0.0,130462472.0,130462472.0
WAN10,emulated TCP network,SILENT_SVOLE,14,32,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,14,8,total_wall_ms,5,6192.393,6202.1686,20.238863185465856,6190.722,6242.618
WAN10,emulated TCP network,SILENT_SVOLE,14,8,total_comm_bytes,5,8325896.0,8325896.0,0.0,8325896.0,8325896.0
WAN10,emulated TCP network,SILENT_SVOLE,14,8,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,18,16,total_wall_ms,5,23347.151,23452.269,154.71290624379154,23303.172,23701.508
WAN10,emulated TCP network,SILENT_SVOLE,18,16,total_comm_bytes,5,32848648.0,32848648.0,0.0,32848648.0,32848648.0
WAN10,emulated TCP network,SILENT_SVOLE,18,16,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
WAN10,emulated TCP network,SILENT_SVOLE,18,32,total_wall_ms,5,89768.264,94097.73240000001,7688.296935913172,89442.761,109323.339
WAN10,emulated TCP network,SILENT_SVOLE,18,32,total_comm_bytes,5,130525960.0,130525960.0,0.0,130525960.0,130525960.0
WAN10,emulated TCP network,SILENT_SVOLE,18,32,split_input_phase_wall_ms,5,0.0,0.0,0.0,0.0,0.0
